Target Number,Indicator Number,Description,St. Code,State or Union Territory,Value,Processed Value,Final Value,Map Score,Score,Source
1,1.01,"Murder per 100,000",35,Andaman and Nicobar Islands,1.84,69.22,69.22,2.08,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",37,Andhra Pradesh,1.87,68.42,68.42,2.05,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",12,Arunachal Pradesh,4.05,2.46,2.46,0.07,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",18,Assam,3.44,20.96,20.96,0.63,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",10,Bihar,2.81,39.73,39.73,1.19,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",4,Chandigarh,1.71,73.27,73.27,2.20,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",22,Chhattisgarh,3.97,4.93,4.93,0.15,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",25,Dadra and Nagar Haveli and Daman and Diu,2.73,42.24,42.24,1.27,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",7,Delhi,3.03,33.16,33.16,0.99,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",30,Goa,3.02,33.62,33.62,1.01,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",24,Gujarat,1.59,76.86,76.86,2.31,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",6,Haryana,4.02,3.18,3.18,0.10,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",2,Himachal Pradesh,1.24,87.39,87.39,2.62,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",1,Jammu and Kashmir,0.81,100.43,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",20,Jharkhand,4.70,-17.24,0.00,0.00,red,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",29,Karnataka,2.30,55.35,55.35,1.66,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",32,Kerala,1.00,94.60,94.60,2.84,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",35,Ladakh,1.82,69.66,69.66,2.09,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",31,Lakshadweep,0.00,124.83,100.00,3.00,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",23,Madhya Pradesh,2.72,42.48,42.48,1.27,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",27,Maharashtra,2.04,63.08,63.08,1.89,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",14,Manipur,1.83,69.54,69.54,2.09,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",17,Meghalaya,2.43,51.45,51.45,1.54,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",15,Mizoram,2.83,39.40,39.40,1.18,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",13,Nagaland,1.06,92.74,92.74,2.78,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",21,Odisha,3.29,25.49,25.49,0.76,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",34,Puducherry,2.40,52.15,52.15,1.56,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",3,Punjab,2.41,51.81,51.81,1.55,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",8,Rajasthan,2.68,43.93,43.93,1.32,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",11,Sikkim,1.47,80.26,80.26,2.41,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",33,Tamil Nadu,2.34,54.01,54.01,1.62,yellow,NCRB(IPCCrimes-2022)/Census(2011)
