Target Number,Indicator Number,Description,St. Code,State or Union Territory,Value,Processed Value,Final Value,Map Score,Score,Source
1,1.01,"Murder per 100,000",35,Andaman and Nicobar Islands,1.839293081,69.2188435,69.2188435,2.076565305,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",37,Andhra Pradesh,1.865780661,68.41793513,68.41793513,2.052538054,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",12,Arunachal Pradesh,4.047041071,2.462882756,2.462882756,0.073886483,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",18,Assam,3.435283489,20.96067567,20.96067567,0.62882027,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",10,Bihar,2.814616161,39.72787371,39.72787371,1.191836211,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",4,Chandigarh,1.705433701,73.26636683,73.26636683,2.197991005,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",22,Chhattisgarh,3.965520252,4.927838286,4.927838286,0.147835149,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",25,Dadra and Nagar Haveli and Daman and Diu,2.731475475,42.24180938,42.24180938,1.267254281,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",7,Delhi,3.031938223,33.15667851,33.15667851,0.994700355,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",30,Goa,3.016705004,33.61728731,33.61728731,1.008518619,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",24,Gujarat,1.586705637,76.85636262,76.85636262,2.305690878,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",6,Haryana,4.023436597,3.176614278,3.176614278,0.095298428,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",2,Himachal Pradesh,1.23823639,87.39307218,87.39307218,2.621792166,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",1,Jammu and Kashmir,0.807041182,100.4311773,100,3,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",20,Jharkhand,4.698659221,-17.24017929,0,0,red,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",29,Karnataka,2.298049226,55.34737476,55.34737476,1.660421243,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",32,Kerala,0.999818566,94.60214269,94.60214269,2.838064281,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",35,Ladakh,1.824817518,69.65654295,69.65654295,2.089696289,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",31,Lakshadweep,0,124.8337856,100,3,green,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",23,Madhya Pradesh,2.723512195,42.48259609,42.48259609,1.274477883,orange,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",27,Maharashtra,2.04228131,63.08106223,63.08106223,1.892431867,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",14,Manipur,1.828516295,69.54470256,69.54470256,2.086341077,yellow,NCRB(IPCCrimes-2022)/Census(2011)
1,1.01,"Murder per 100,000",17,Meghalaya,2.42678442,51.45479211,51.45479211,1.543643763,yellow,NCRB(IPCCrimes-2022)/Census(2011)
